trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
118,False,"{'a': 0.002, 'e': 0.7913618158955839}",20,0,-45.8422964496997,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
119,False,"{'a': 0.002, 'e': 0.7897806739328027}",20,13,1.9903541116391799,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.002, 'e': 0.7882026910937704}",20,0,-76.6211923261248,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 1}",0
121,False,"{'a': 0.002, 'e': 0.7866278610665535}",35,1,-102.88927924162019,"{0: 24, 1: 2, 2: 6, 3: 1, 4: 1}",1
122,False,"{'a': 0.002, 'e': 0.7850561775518295}",20,7,-17.824918406890617,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 0}",1
123,False,"{'a': 0.002, 'e': 0.7834876342628625}",20,0,-50.14330042793303,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
124,False,"{'a': 0.002, 'e': 0.7819222249254772}",25,0,-151.18579902580692,"{0: 17, 1: 1, 2: 3, 3: 1, 4: 3}",1
125,False,"{'a': 0.002, 'e': 0.7803599432780343}",20,0,-64.02834371876386,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
126,False,"{'a': 0.002, 'e': 0.7788007830714049}",25,0,-32.434774444011126,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
127,False,"{'a': 0.002, 'e': 0.7772447380689461}",25,2,-91.64451347935683,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 1}",1
128,False,"{'a': 0.002, 'e': 0.775691802046476}",20,0,-108.98733514445335,"{0: 11, 1: 0, 2: 8, 3: 0, 4: 1}",0
129,False,"{'a': 0.002, 'e': 0.7741419687922484}",30,18,-9.91570832088527,"{0: 8, 1: 3, 2: 1, 3: 0, 4: 0}",1
130,False,"{'a': 0.002, 'e': 0.772595232106928}",25,0,-116.17044650596077,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
131,False,"{'a': 0.002, 'e': 0.7710515858035663}",20,0,-108.92983959743934,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
132,False,"{'a': 0.002, 'e': 0.7695110237075758}",25,0,-72.47489367794336,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
133,False,"{'a': 0.002, 'e': 0.7679735396567061}",20,0,-73.52432121832095,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
134,False,"{'a': 0.002, 'e': 0.7664391275010192}",20,0,-110.20711861611818,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
135,False,"{'a': 0.002, 'e': 0.764907781102864}",20,0,-49.96415988170634,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
136,False,"{'a': 0.002, 'e': 0.7633794943368531}",20,13,4.5002566287728385,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.002, 'e': 0.7618542610898376}",20,0,-146.06622387955494,"{0: 8, 1: 5, 2: 5, 3: 0, 4: 2}",0
138,False,"{'a': 0.002, 'e': 0.7603320752608821}",20,0,-72.0073975661463,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
139,False,"{'a': 0.002, 'e': 0.7588129307612413}",25,7,-113.26591632345234,"{0: 11, 1: 2, 2: 2, 3: 1, 4: 2}",1
140,False,"{'a': 0.002, 'e': 0.7572968215143355}",25,0,-47.94230633043002,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
141,False,"{'a': 0.002, 'e': 0.7557837414557255}",20,0,-116.37412787837789,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
142,False,"{'a': 0.002, 'e': 0.754273684533089}",25,3,-86.99358758372365,"{0: 12, 1: 1, 2: 8, 3: 1, 4: 0}",1
